РЕЕСТР;РЕЕСТР Период внесения изменений;Внесены изменения в Положение об ИОГВ;Основание/ Дата внесения изменений в Положение (дата согласования КРИОГВ изменений в положение);Основание для исключения (Реквизиты НПА, регламентирующие исключение полномочия);№ пункта в соответствии с ПП Правительства РФ от 30.05.2014 № 496;полномочие осуществляется с использованием ИС;№ пункта в положении об ИОГВ;Статус; Услугу/функцию предоставляет Администрация района/ОМСУ/ФОИВ/ВФ/ГУ;Наименование ИОГВ СПб;Наименование полномочия в соответствии с Положением об ИОГВ;Наименование услуги (функции);порядковый номер услуги/функции;Наименование процедуры в сфере жилищного строительства (распоряжение Правительства РФ);Тип;субъект предоставления услуг (физ/юр);№ пункта Плана-графика 2013;План-график 2013 (срок исполнения);План-график 2013 (требуется внесение изменений);Продление срока по Плану 2013;Основание для продления срока по Плану 2013;Исключение из Плана 2013;Основание для исключения из Плана 2013;План 2013 исполнен;№ пункта Плана-графика 2014;Срок исполнения План-графика 2014;Основание для включения услуги в План-график 2014;Основание для исключения из Плана 2014;"План 2014
исполнение";№ пункта Плана-графика 2015;Срок исполнения План-графика 2015;Основание для включения услуги в План-график 2015;Основание для исключения из Плана 2015;"План 2015
исполнение";Мониторинг в 2014 году;Проведен мониторинг в 2013 году;услуга включена в дорожную карту ИОГВ;Результаты мониторинга 2013 года;"%
удовлетворенности заявителей по услуге";Срок исполнения мероприятий по ДК;Отметка о выполнении;№ пункта Плана-графика 2012;План-график 2012 (месяц);План-график 2012 Внесение изменений в АР;Продление срока;Исключение из Плана 2012;Основание для исключения;ПГ 2012 исполнен;1593;1593 (ред. от 20.09.2012);Внесение изменений в 1593;Реквизиты соглашения;Дата начала предоставления услуги в МФЦ;Реализация в МАИС МФЦ;8-рп;Внесение изменений в 8-рп;Внесение изменений в 11-рп;"Реализация в АИС ""ЭСРН"" (Систематика)";Реализация по ГК в 2014 году;Реализация по ГК в 2014 году ;11-рп от 13.03.2014;этап предоставления на Портале;Внесение изменений в 8-рп в редакции 11-рп от 13.03.2014;Возможность выдачи результата в электронном виде;ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 20 услуг;ГК 2014 - Развитие МАИС (подлежат модернизации по 4 и 5 этапам перевода в электронный вид - динамическая реализация услуг) - 27 услуг;"ГК 2014 - Развитие МАИС (разрабатываются по 4 и 5 этапам перевода в электронный вид - статическая реализация услуг) - 3 услуги (в ГК - 4, нет ""8 тонн"")";ГК 2014 - Развитие МАИС (перечень платежей, которые разрабатываются на Портале и в мобильных приложениях на безе Android и iOS);ГК 2014 - Развитие МАИС (электронные ГУ, разрабатываются в ЭДО МФЦ) - 15 услуг;ГК 2014 - Развитие МАИС (электронные услуги КСП, модернизируются по результатам интеграции МАИС ЭГУ с АИС ЭСРН) - 96 услуг;ГК 2014 - Развитие МАИС (реализуются в ЭДО МФЦ, предоставляются юридическим лицам) - 55 услуг;ГК 2014 - Развитие МАИС ЭГУ (административные процедуры 2-й очереди, разрабатываемые в 2014 году в ЭДО МФЦ) - 20 услуг; УЭК                 ;Реализация на портале (Ростелеком);Актуализация по ЕПГУ;1993-р;729-р;реализация в электронном виде;51-рп;Внесение изменений в 51-рп;"ТКМВ
(реквизиты  протокола РГ МИВ)";ТКМВ внесение изменений (реквизиты  протокола РГ МИВ);КАР;Административный регламент утвержден распоряжением ИОГВ;Реквизиты нормативных правовых актов изменений в АР;Возмездная / Безвозмездная государственная услуга;Сумма госпошлины;Количество взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;Наименование взаимодействий ЮЛ/ФЛ и ИОГВ при предоставлении гос. услуги;"Наименование услуги необходимой и обязательной, 
содержащейся в
постановлении
Правительства Санкт-Петербурга
от 03.02.2012 N 93";Наименование учреждения (организации), предоставляющей услугу необходимую и обязательную;Стоимость услуги н.о.;Наименование услуги (документа) необходимой для предоставления государственной услуги;Наименование учреждения (организации), предоставляющей необходимую услугу;Стоимость услуги необходимой для получения гос. услуги;Результат предоставления услуги/исполнения функции;Время ожидания в очереди;Требуется внесение изменений в АР;Дата поступления  на согласование;Результат согласования ;Дата согласования ;ФИО эксперта;Дата повторного поступления  на согласование;Результат повторного согласования ;Дата повторного согласования ;ФИО эксперта;Предварительная экспертиза ЮК (реквизиты письма);Результат предварительной экспертизы в ЮК;Проект направлен в ЮК для вынесения на КАР (реквизиты письма);Отсутствует НПА на федеральном уровне;Требуется внесение изменений в НПА на федеральном уровне;Отсутствует НПА СПб;Требуется внесение изменений в НПА СПб;№ п/п в соответствии с Перечнями №1 и №2 МЭР;Наименование в соответствии с Перечнями №1 и №2 МЭР;Комментарии Юридического Комитета;Наименование функции (услуги)  в соответствии с федеральным законодательством;Реквизиты НПА федерального уровня, которым функция (полномочие) закреплено (отнесено к ведению) за субъектом РФ;Наименование функции в соответствии с законодательством Санкт-Петербурга ;Реквизиты НПА регионального уровня, которым функция (полномочие) закреплено (порядок предоставления услуги);Реквизиты НПА, закрепляющего перечень документов представления услуги;Реквизиты НПА, которыми полномочие передано для осуществления ИОГВ субъекта РФ с федерального уровня;133-ФЗ;"Количество обращений за предоставление услуги
 (за 2011 год)";"Количество обращений за предоставлением услуги
(за 2013 год)";Количество обращений за предоставление услуги;Количество обращений за предоставление услуги;"Количество обращений за предоставление услуги
 (на 1.11.2012)";Формирование отчета по полномочиям;Примечание;Идентификатор услуги
р;;;;;;;3.32.;Общая;;Комитет по внешним связям;Запрашивать и получать от исполнительных органов государственной власти Санкт-Петербурга, иных государственных органов и органов местного самоуправления, учреждений, предприятий, организаций информацию, документы и материалы, необходимые для осуществления задач, возложенных на Комитет, передавать в установленном порядке информацию указанным органам, учреждениям, предприятиям, организациям.;Запрашивать и получать от исполнительных органов государственной власти Санкт-Петербурга, иных государственных органов и органов местного самоуправления, учреждений, предприятий, организаций информацию, документы и материалы, необходимые для осуществления задач, возложенных на Комитет, передавать в установленном порядке информацию указанным органам, учреждениям, предприятиям, организациям.;651;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.33.;Общая;;Комитет по внешним связям; Рассматривать обращения граждан и организаций, принимать по ним необходимые меры. Вести прием граждан и представителей организаций по вопросам, отнесенным к компетенции Комитета.; Рассматривать обращения граждан и организаций, принимать по ним необходимые меры. Вести прием граждан и представителей организаций по вопросам, отнесенным к компетенции Комитета.;652;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.34.;Общая;;Комитет по внешним связям;Участвовать в пределах ведения Комитета в ликвидации чрезвычайных ситуаций и последствий стихийных бедствий.;Участвовать в пределах ведения Комитета в ликвидации чрезвычайных ситуаций и последствий стихийных бедствий.;653;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.35.;Общая;;Комитет по внешним связям;Выполнять в случаях и порядке, установленных действующим законодательством, функции заказчика по государственным контрактам на выполнение подрядных работ (оказание услуг, поставку товаров) для государственных нужд.;Выполнять в случаях и порядке, установленных действующим законодательством, функции заказчика по государственным контрактам на выполнение подрядных работ (оказание услуг, поставку товаров) для государственных нужд.;654;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;изменена формулировка о внесении изменений в ПП СПБ от 13.01.2004 №5;КАР № 61;;;;3.36.;Исполняемое;;Комитет по внешним связям;"Вносить на рассмотрение Правительства Санкт-Петербурга предложения о создании, реорганизации, ликвидации подведомственных Комитету государственных унитарных предприятий
Осуществлять от имени Санкт-Петербурга права собственника имущества подведомственных Комитету государственных унитарных предприятий, предоставленные Комитету в соответствии с правовыми актами Правительства Санкт-Петербурга";"Вносить на рассмотрение Правительства Санкт-Петербурга предложения о создании, реорганизации, ликвидации подведомственных Комитету государственных унитарных предприятий
Осуществлять от имени Санкт-Петербурга права собственника имущества подведомственных Комитету государственных унитарных предприятий, предоставленные Комитету в соответствии с правовыми актами Правительства Санкт-Петербурга";655;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;изменена формулировка о внесении изменений в ПП СПБ от 13.01.2004 №5;КАР № 61;;;;3.37-2.;Исполняемое;;Комитет по внешним связям;"Осуществлять от имени Санкт-Петербурга следующие функции и полномочия учредителя находящихся в ведении Комитета государственных бюджетных учреждений Санкт-Петербурга, предоставленные Комитету в соответствии с правовыми актами Правительства Санкт-Петербурга  (далее - бюджетные учреждения): готовить предложения (представления) о создании бюджетных учреждений путем учреждения и изменения типа существующих государственных учреждений Санкт-Петербурга, о реорганизации и ликвидации бюджетных учреждений; согласовывать уставы и изменения в уставы бюджетных учреждений; формировать и направлять предложения по закреплению имущества за бюджетными учреждениями на праве оперативного управления и изъятию имущества, находящегося у бюджетных учреждений на праве оперативного управления, в порядке, установленном Правительством Санкт-Петербурга; согласовывать передаточные акты или разделительные балансы при реорганизации бюджетных учреждений, ликвидационные балансы при ликвидации бюджетных учреждений; назначать руководителей бюджетных учреждений и прекращать их полномочия; заключать и расторгать трудовые договоры с руководителями бюджетных учреждений; формировать и утверждать государственное задание на оказание государственных услуг (выполнение работ) в порядке, установленном Правительством Санкт-Петербурга; осуществлять финансовое обеспечение выполнения государственного задания на оказание государственных услуг (выполнение работ) в порядке, установленном Правительством Санкт-Петербурга; устанавливать порядок определения платы для физических и юридических лиц за услуги (работы), относящиеся к основным видам деятельности бюджетных учреждений, оказываемые ими сверх установленного государственного задания на оказание государственных услуг (выполнение работ), а также в случаях, определенных федеральными законами, в пределах установленного государственного задания на оказание государственных услуг (выполнение работ);определять порядок составления и утверждения отчетов о результатах деятельности бюджетных учреждений и об использовании закрепленного за бюджетными учреждениями на праве оперативного управления имущества, утверждать указанные отчеты; определять порядок составления и утверждения планов финансово-хозяйственной деятельности бюджетных учреждений, утверждать указанные планы; определять предельно допустимое значение просроченной кредиторской задолженности бюджетных учреждений, превышение которого влечет расторжение трудового договора с руководителями бюджетных учреждений по инициативе работодателя в соответствии с Трудовым кодексом Российской Федерации; осуществлять контроль за деятельностью бюджетных учреждений в порядке, установленном Правительством Санкт-Петербурга; определять перечни особо ценного движимого имущества бюджетных учреждений; готовить и направлять в порядке, установленном Правительством Санкт-Петербурга, представления об определении видов особо ценного движимого имущества бюджетных учреждений; принимать решения об отнесении движимого имущества бюджетных учреждений к категории особо ценного движимого имущества в случае принятия решений о выделении средств на приобретение указанного имущества в порядке, установленном Правительством Санкт-Петербурга; готовить и направлять в порядке, установленном Правительством Санкт-Петербурга, представления об отнесении движимого имущества к категории особо ценного движимого имущества в случае одновременного принятия решений о закреплении за бюджетными учреждениями указанного имущества, находящегося в государственной собственности Санкт-Петербурга, и отнесении его к категории особо ценного движимого имущества.";"Осуществлять от имени Санкт-Петербурга следующие функции и полномочия учредителя находящихся в ведении Комитета государственных бюджетных учреждений Санкт-Петербурга, предоставленные Комитету в соответствии с правовыми актами Правительства Санкт-Петербурга  (далее - бюджетные учреждения): готовить предложения (представления) о создании бюджетных учреждений путем учреждения и изменения типа существующих государственных учреждений Санкт-Петербурга, о реорганизации и ликвидации бюджетных учреждений; согласовывать уставы и изменения в уставы бюджетных учреждений; формировать и направлять предложения по закреплению имущества за бюджетными учреждениями на праве оперативного управления и изъятию имущества, находящегося у бюджетных учреждений на праве оперативного управления, в порядке, установленном Правительством Санкт-Петербурга; согласовывать передаточные акты или разделительные балансы при реорганизации бюджетных учреждений, ликвидационные балансы при ликвидации бюджетных учреждений; назначать руководителей бюджетных учреждений и прекращать их полномочия; заключать и расторгать трудовые договоры с руководителями бюджетных учреждений; формировать и утверждать государственное задание на оказание государственных услуг (выполнение работ) в порядке, установленном Правительством Санкт-Петербурга; осуществлять финансовое обеспечение выполнения государственного задания на оказание государственных услуг (выполнение работ) в порядке, установленном Правительством Санкт-Петербурга; устанавливать порядок определения платы для физических и юридических лиц за услуги (работы), относящиеся к основным видам деятельности бюджетных учреждений, оказываемые ими сверх установленного государственного задания на оказание государственных услуг (выполнение работ), а также в случаях, определенных федеральными законами, в пределах установленного государственного задания на оказание государственных услуг (выполнение работ);определять порядок составления и утверждения отчетов о результатах деятельности бюджетных учреждений и об использовании закрепленного за бюджетными учреждениями на праве оперативного управления имущества, утверждать указанные отчеты; определять порядок составления и утверждения планов финансово-хозяйственной деятельности бюджетных учреждений, утверждать указанные планы; определять предельно допустимое значение просроченной кредиторской задолженности бюджетных учреждений, превышение которого влечет расторжение трудового договора с руководителями бюджетных учреждений по инициативе работодателя в соответствии с Трудовым кодексом Российской Федерации; осуществлять контроль за деятельностью бюджетных учреждений в порядке, установленном Правительством Санкт-Петербурга; определять перечни особо ценного движимого имущества бюджетных учреждений; готовить и направлять в порядке, установленном Правительством Санкт-Петербурга, представления об определении видов особо ценного движимого имущества бюджетных учреждений; принимать решения об отнесении движимого имущества бюджетных учреждений к категории особо ценного движимого имущества в случае принятия решений о выделении средств на приобретение указанного имущества в порядке, установленном Правительством Санкт-Петербурга; готовить и направлять в порядке, установленном Правительством Санкт-Петербурга, представления об отнесении движимого имущества к категории особо ценного движимого имущества в случае одновременного принятия решений о закреплении за бюджетными учреждениями указанного имущества, находящегося в государственной собственности Санкт-Петербурга, и отнесении его к категории особо ценного движимого имущества.";656;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;авг.14;в ред. Постановления Правительства СПб от 03.08.2011 N 1106;КАР № 61;;;;3.37.;исключено;;Комитет по внешним связям;Разрабатывать и согласовывать проекты уставов и изменений в уставы подведомственных Комитету государственных унитарных предприятий, а также осуществлять полномочия собственника имущества подведомственных Комитету государственных унитарных предприятий и государственных учреждений, предоставленные Комитету в соответствии с его компетенцией.;Разрабатывать и согласовывать проекты уставов и изменений в уставы подведомственных Комитету государственных унитарных предприятий, а также осуществлять полномочия собственника имущества подведомственных Комитету государственных унитарных предприятий и государственных учреждений, предоставленные Комитету в соответствии с его компетенцией.;657;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;авг.14;"п. 3.37-1 введен Постановлением Правительства СПб от 20.02.2007 N 168; в ред. Постановления Правительства СПб от 03.08.2011 N 1106";КАР № 61;;;;3.37-1.;исключено;;Комитет по внешним связям; Осуществлять назначение на должность и освобождение от должности руководителей государственных унитарных предприятий, подведомственных Комитету, по согласованию с вице-губернатором Санкт-Петербурга, координирующим и контролирующим деятельность Комитета.; Осуществлять назначение на должность и освобождение от должности руководителей государственных унитарных предприятий, подведомственных Комитету, по согласованию с вице-губернатором Санкт-Петербурга, координирующим и контролирующим деятельность Комитета.;658;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;изменена формулировка о внесении изменений в ППСПБ от 13.01.2004 №5;КАР № 61;;;;3.37-3.;Исполняемое;;Комитет по внешним связям;"Осуществлять от имени Санкт-Петербурга следующие функции и полномочия учредителя находящихся в ведении Комитета государственных казенных учреждений Санкт-Петербурга. предоставленные Комитету в соответствии с правовыми актами Правительства Санкт-Петербурга (далее - казенные учреждения): готовить предложения (представления) о создании казенных учреждений путем учреждения и изменения типа существующих государственных учреждений Санкт-Петербурга, о реорганизации и ликвидации казенных учреждений; согласовывать уставы и изменения в уставы казенных учреждений; формировать предложения по закреплению имущества за казенными учреждениями на праве оперативного управления и изъятию имущества, закрепленного за казенными учреждениями на праве оперативного управления; согласовывать передаточные акты или разделительные балансы при реорганизации казенных учреждений, ликвидационные балансы при ликвидации казенных учреждений; назначать руководителей казенных учреждений и прекращать их полномочия; заключать и расторгать трудовые договоры с руководителями казенных учреждений; формировать и утверждать государственное задание на оказание государственных услуг (выполнение работ) казенными учреждениями; осуществлять финансовое обеспечение деятельности казенных учреждений, в том числе выполнения государственного задания на оказание государственных услуг (выполнение работ); определять порядок составления и утверждения отчетов о результатах деятельности казенных учреждений и об использовании закрепленного за казенными учреждениями на праве оперативного управления имущества, утверждать указанные отчеты; осуществлять контроль за деятельностью казенных учреждений в порядке, установленном Правительством Санкт-Петербурга";"Осуществлять от имени Санкт-Петербурга следующие функции и полномочия учредителя находящихся в ведении Комитета государственных казенных учреждений Санкт-Петербурга. предоставленные Комитету в соответствии с правовыми актами Правительства Санкт-Петербурга (далее - казенные учреждения): готовить предложения (представления) о создании казенных учреждений путем учреждения и изменения типа существующих государственных учреждений Санкт-Петербурга, о реорганизации и ликвидации казенных учреждений; согласовывать уставы и изменения в уставы казенных учреждений; формировать предложения по закреплению имущества за казенными учреждениями на праве оперативного управления и изъятию имущества, закрепленного за казенными учреждениями на праве оперативного управления; согласовывать передаточные акты или разделительные балансы при реорганизации казенных учреждений, ликвидационные балансы при ликвидации казенных учреждений; назначать руководителей казенных учреждений и прекращать их полномочия; заключать и расторгать трудовые договоры с руководителями казенных учреждений; формировать и утверждать государственное задание на оказание государственных услуг (выполнение работ) казенными учреждениями; осуществлять финансовое обеспечение деятельности казенных учреждений, в том числе выполнения государственного задания на оказание государственных услуг (выполнение работ); определять порядок составления и утверждения отчетов о результатах деятельности казенных учреждений и об использовании закрепленного за казенными учреждениями на праве оперативного управления имущества, утверждать указанные отчеты; осуществлять контроль за деятельностью казенных учреждений в порядке, установленном Правительством Санкт-Петербурга";659;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.38.;Общая;;Комитет по внешним связям;Разрабатывать методические материалы и рекомендации по предметам ведения Комитета.;Разрабатывать методические материалы и рекомендации по предметам ведения Комитета.;660;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.39.;Общая;;Комитет по внешним связям;Обеспечивать организацию и проведение мероприятий по мобилизационной подготовке Комитета, разрабатывать и утверждать мобилизационный план Комитета и мобилизационные задания подведомственным организациям.     ;Обеспечивать организацию и проведение мероприятий по мобилизационной подготовке Комитета, разрабатывать и утверждать мобилизационный план Комитета и мобилизационные задания подведомственным организациям.     ;661;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.39-1.;Общая;;Комитет по внешним связям;Осуществлять в пределах компетенции Комитета деятельность по реализации антикоррупционной политики в Санкт-Петербурге;Осуществлять в пределах компетенции Комитета деятельность по реализации антикоррупционной политики в Санкт-Петербурге;662;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.39-2.;Общая;;Комитет по внешним связям;Обеспечивать реализацию мер по противодействию коррупции в Комитете и подведомственных Комитету государственных учреждениях и государственных унитарных предприятиях ;Обеспечивать реализацию мер по противодействию коррупции в Комитете и подведомственных Комитету государственных учреждениях и государственных унитарных предприятиях ;663;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03.10.2012;согласовано;04.10.2012;Ковалев;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;авг.14;изменена формулировка о внесении изменений в ПП СПБ от 13.01.2004 №5;КАР № 61;;;;3.40.;исключено;;Комитет по внешним связям;Осуществлять в случаях и порядке, установленных действующим законодательством, финансирование, материально-техническое обеспечение подведомственных государственных унитарных предприятий, а также контроль за их финансово-хозяйственной деятельностью;Осуществлять в случаях и порядке, установленных действующим законодательством, финансирование, материально-техническое обеспечение подведомственных государственных унитарных предприятий, а также контроль за их финансово-хозяйственной деятельностью;664;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.1.;Общая;;Комитет по вопросам законности, правопорядка и безопасности;Взаимодействовать в установленном порядке по вопросам, находящимся в компетенции Комитета, с органами государственной власти и местного самоуправления, организациями, а также должностными лицами;Взаимодействовать в установленном порядке по вопросам, находящимся в компетенции Комитета, с органами государственной власти и местного самоуправления, организациями, а также должностными лицами;665;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.05.2012;согласовано;18.05.2012;Демовская;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"дополнено ПП СПб о создании государственной информационной системы Санкт-Петербурга ""Автоматизация деятельности судебных участков мировых судей""";;;;; -;дополнительная;;Комитет по вопросам законности, правопорядка и безопасности;Осуществлять техническое сопровождение официального сайта мировых судей Санкт-Петербурга;Осуществлять техническое сопровождение официального сайта мировых судей Санкт-Петербурга;666;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Полномочие КИС п.3.39-4;
;;"дополнено ПП СПб о создании государственной информационной системы Санкт-Петербурга ""Автоматизация деятельности судебных участков мировых судей""";;;;; -;дополнительная;;Комитет по вопросам законности, правопорядка и безопасности;Организовывать доступ к информации о деятельности мировых судей Санкт-Петербурга;Организовывать доступ к информации о деятельности мировых судей Санкт-Петербурга;667;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Полномочие КИС п.3.39-5;
р;;;;;;;3.2.;Общая;;Комитет по вопросам законности, правопорядка и безопасности;Осуществлять организационное обеспечение деятельности Городского штаба по координации деятельности граждан и общественных объединений, участвующих в обеспечении правопорядка в Санкт-Петербурге;Осуществлять организационное обеспечение деятельности Городского штаба по координации деятельности граждан и общественных объединений, участвующих в обеспечении правопорядка в Санкт-Петербурге, созданного постановлением Правительства Санкт-Петербурга от 29.06.2004 №1197;668;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.10.2011;согласовано;21.10.2011.;Демовская;;;;;24.10.2011;;30.11.2011;;;;;;;;;-;Городской штаб вносит в установленном порядке соответствующие предложения по вопросам, требующим решения Губернатора Санкт-Петербурга или Правительства Санкт-Петербурга, через Комитет по вопросам законности, правопорядка и безопасности.;"п.3.3,ст. 3 Постановления Правительства Санкт-Петербурга от 29.06.2004 № 1197 ""О МЕРАХ ПО РЕАЛИЗАЦИИ ЗАКОНА САНКТ-ПЕТЕРБУРГА ОТ 31.10.2001 N 760-95 ОБ УЧАСТИИ ГРАЖДАН В ОБЕСПЕЧЕНИИ ПРАВОПОРЯДКА В САНКТ-ПЕТЕРБУРГЕ""";;Полномочие переведено в статус общих. Достигнута договоренность о внесении изменений в Положение о Городском штабе.;;;;;;;;подготовлен проект постановления Правительства Санкт-Петербурга об исключении полномочия из Положения о Комитете, 07.12.2011 в КРИОГВ направлено письмо об исключении регламента из Плана-графика на 2011 год;
р;;;;;;;3.3.;Исполняемое;;Комитет по вопросам законности, правопорядка и безопасности;Осуществлять организацию исполнения законодательства Российской Федерации о наркотических средствах, психотропных веществах и об их прекурсорах в пределах своей компетенции;Осуществлять организацию исполнения законодательства Российской Федерации о наркотических средствах, психотропных веществах и об их прекурсорах в пределах своей компетенции;669;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КАР;от 22.06.2010 N 138-р;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-;Сектор по обеспечению деятельности Антитеррористической комиссии Санкт-Петербурга и сектор по обеспечению деятельности антинаркотической комиссии в Санкт-Петербурге оперативно подчинены вице-губернатору Санкт-Петербурга, отвечающему за решение вопросов за;"п.3.2. Постановления Губернатора Санкт-Петербурга от 14.01.2008 N 1-пг ""ОБ АНТИНАРКОТИЧЕСКОЙ КОМИССИИ В САНКТ-ПЕТЕРБУРГЕ И ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПОСТАНОВЛЕНИЯ ГУБЕРНАТОРА САНКТ-ПЕТЕРБУРГА ОТ 29.12.2003 N 175 И ОТ 25.05.2004 N 429-ПГ""";;;;;;;;;;;
р;;;;;;;3.4.;Общая;;Комитет по вопросам законности, правопорядка и безопасности;Запрашивать и получать от исполнительных органов государственной власти Санкт-Петербурга, организаций и должностных лиц информацию, документы и материалы, необходимые для осуществления задач, возложенных на Комитет;Запрашивать и получать от исполнительных органов государственной власти Санкт-Петербурга, организаций и должностных лиц информацию, документы и материалы, необходимые для осуществления задач, возложенных на Комитет;670;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
р;;;;;;;3.5.;Общая;;Комитет по вопросам законности, правопорядка и безопасности;Проводить конференции, совещания, семинары и принимать участие в указанных мероприятиях для реализации задач, возложенных на Комитет;Проводить конференции, совещания, семинары и принимать участие в указанных мероприятиях для реализации задач, возложенных на Комитет;671;;функция;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
